civ,patch_from,patch_to,delta_win_rate,flagged_ge_5pp
japanese,143421,147949,0.0015,False
japanese,147949,153015,0.0077,False
japanese,153015,162286,0.0029,False
khmer,66692,73855,0.0109,False
khmer,73855,78174,0.0131,False
khmer,78174,81058,0.0025,False
khmer,81058,82587,0.0065,False
khmer,82587,83607,0.0043,False
khmer,83607,87863,0.0006,False
khmer,87863,93001,0.0014,False
khmer,93001,95810,0.003,False
khmer,95810,99311,0.0001,False
khmer,99311,104954,0.001,False
khmer,104954,107882,0.0002,False
khmer,107882,111772,0.0007,False
khmer,111772,125283,0.008,False
khmer,125283,141935,0.0098,False
khmer,141935,143421,0.0008,False
khmer,143421,147949,0.0034,False
khmer,147949,153015,0.0076,False
khmer,153015,162286,0.008,False
koreans,66692,73855,0.0084,False
koreans,73855,78174,0.0044,False
koreans,78174,81058,0.0159,False
koreans,81058,82587,0.004,False
koreans,82587,83607,0.0019,False
koreans,83607,87863,0.0223,False
koreans,87863,93001,0.0067,False
koreans,93001,95810,0.0103,False
koreans,95810,99311,0.0201,False
koreans,99311,104954,0.0163,False
koreans,104954,107882,0.0011,False
koreans,107882,111772,0.002,False
koreans,111772,125283,0.0045,False
koreans,125283,141935,0.0019,False
koreans,141935,143421,0.0034,False
koreans,143421,147949,0.002,False
koreans,147949,153015,0.0034,False
koreans,153015,162286,0.0059,False
lithuanians,66692,73855,0.0142,False
lithuanians,73855,78174,0.0037,False
lithuanians,78174,81058,0.0122,False
lithuanians,81058,82587,0.0032,False
lithuanians,82587,83607,0.0006,False
lithuanians,83607,87863,0.0028,False
lithuanians,87863,93001,0.0004,False
lithuanians,93001,95810,0.0021,False
lithuanians,95810,99311,0.0043,False
lithuanians,99311,104954,0.0002,False
lithuanians,104954,107882,0.0066,False
lithuanians,107882,111772,0.0048,False
lithuanians,111772,125283,0.0054,False
lithuanians,125283,141935,0.0059,False
lithuanians,141935,143421,0.003,False
lithuanians,143421,147949,0.0033,False
lithuanians,147949,153015,0.0042,False
lithuanians,153015,162286,0.0093,False
magyars,66692,73855,0.0019,False
magyars,73855,78174,0.0004,False
magyars,78174,81058,0.0003,False
magyars,81058,82587,0.0012,False
magyars,82587,83607,0.0004,False
magyars,83607,87863,0.0044,False
magyars,87863,93001,0.0017,False
magyars,93001,95810,0.0013,False
magyars,95810,99311,0.0007,False
magyars,99311,104954,0.0048,False
magyars,104954,107882,0.0038,False
magyars,107882,111772,0.0002,False
magyars,111772,125283,0.0039,False
magyars,125283,141935,0.0065,False
magyars,141935,143421,0.0098,False
magyars,143421,147949,0.0103,False
magyars,147949,153015,0.0011,False
magyars,153015,162286,0.0035,False
malay,66692,73855,0.003,False
malay,73855,78174,0.0046,False
malay,78174,81058,0.0406,False
malay,81058,82587,0.0019,False
malay,82587,83607,0.0008,False
malay,83607,87863,0.0067,False
malay,87863,93001,0.0027,False
malay,93001,95810,0.0054,False
malay,95810,99311,0.0072,False
malay,99311,104954,0.0004,False
malay,104954,107882,0.0053,False
malay,107882,111772,0.0032,False
malay,111772,125283,0.0055,False
malay,125283,141935,0.0019,False
malay,141935,143421,0.0022,False
malay,143421,147949,0.0009,False
malay,147949,153015,0.0066,False
malay,153015,162286,0.0033,False
malians,66692,73855,0.025,False
malians,73855,78174,0.0002,False
malians,78174,81058,0.0249,False
malians,81058,82587,0.0088,False
malians,82587,83607,0.0048,False
malians,83607,87863,0.0129,False
malians,87863,93001,0.0004,False
malians,93001,95810,0.0076,False
malians,95810,99311,0.0026,False
malians,99311,104954,0.0061,False
malians,104954,107882,0.0044,False
malians,107882,111772,0.0016,False
malians,111772,125283,0.0007,False
malians,125283,141935,0.0101,False
malians,141935,143421,0.0037,False
malians,143421,147949,0.0031,False
malians,147949,153015,0.0071,False
malians,153015,162286,0.0066,False
mayans,66692,73855,0.0134,False
mayans,73855,78174,0.0006,False
mayans,78174,81058,0.0039,False
mayans,81058,82587,0.0111,False
mayans,82587,83607,0.0043,False
mayans,83607,87863,0.0067,False
mayans,87863,93001,0.0003,False
mayans,93001,95810,0.0028,False
mayans,95810,99311,0.0089,False
mayans,99311,104954,0.0112,False
mayans,104954,107882,0.0043,False
mayans,107882,111772,0.0078,False
mayans,111772,125283,0.0067,False
mayans,125283,141935,0.0133,False
mayans,141935,143421,0.0057,False
mayans,143421,147949,0.0089,False
mayans,147949,153015,0.0064,False
mayans,153015,162286,0.0135,False
mongols,66692,73855,0.0119,False
mongols,73855,78174,0.0068,False
mongols,78174,81058,0.0035,False
mongols,81058,82587,0.0022,False
mongols,82587,83607,0.002,False
mongols,83607,87863,0.0004,False
mongols,87863,93001,0.0036,False
mongols,93001,95810,0.0008,False
mongols,95810,99311,0.0005,False
mongols,99311,104954,0.0059,False
mongols,104954,107882,0.0037,False
mongols,107882,111772,0.0051,False
mongols,111772,125283,0.001,False
mongols,125283,141935,0.0009,False
mongols,141935,143421,0.0034,False
mongols,143421,147949,0.0009,False
mongols,147949,153015,0.0049,False
mongols,153015,162286,0.0033,False
persians,66692,73855,0.0056,False
persians,73855,78174,0.0066,False
persians,78174,81058,0.0217,False
persians,81058,82587,0.0146,False
persians,82587,83607,0.0039,False
persians,83607,87863,0.0151,False
persians,87863,93001,0.0111,False
persians,93001,95810,0.045,False
persians,95810,99311,0.0115,False
persians,99311,104954,0.0016,False
persians,104954,107882,0.0026,False
persians,107882,111772,0.0001,False
persians,111772,125283,0.001,False
persians,125283,141935,0.0009,False
persians,141935,143421,0.0045,False
persians,143421,147949,0.0036,False
persians,147949,153015,0.0001,False
persians,153015,162286,0.0032,False
poles,66692,73855,0.0288,False
poles,73855,78174,0.0244,False
poles,78174,81058,0.0029,False
poles,81058,82587,0.0047,False
poles,82587,83607,0.0013,False
poles,83607,87863,0.0022,False
poles,87863,93001,0.0113,False
poles,93001,95810,0.0013,False
poles,95810,99311,0.0089,False
poles,99311,104954,0.0146,False
poles,104954,107882,0.0038,False
poles,107882,111772,0.0082,False
poles,111772,125283,0.0074,False
poles,125283,141935,0.0066,False
poles,141935,143421,0.0025,False
poles,143421,147949,0.0112,False
poles,147949,153015,0.0084,False
poles,153015,162286,0.0024,False
portuguese,66692,73855,0.0447,False
portuguese,73855,78174,0.0099,False
portuguese,78174,81058,0.0294,False
portuguese,81058,82587,0.0046,False
