patch_number,civ,n_matches,win_rate
81058,bengalis,4018,0.4713787954206073
81058,berbers,12316,0.5126664501461513
81058,bohemians,6751,0.4960746556065768
81058,britons,24230,0.4713990920346678
81058,bulgarians,14230,0.5120168657765285
81058,burgundians,10226,0.4831801290827303
81058,burmese,6682,0.4736605806644717
81058,byzantines,16729,0.48693884870584014
81058,celts,14360,0.5126044568245125
81058,chinese,11131,0.45979696343545057
81058,cumans,13292,0.4996990671080349
81058,dravidians,6578,0.5097294010337489
81058,ethiopians,22293,0.4988561431839591
81058,franks,42643,0.5188424829397557
81058,goths,20097,0.5159476538786884
81058,gurjaras,6714,0.513702710753649
81058,hindustanis,12414,0.48034477203157727
81058,huns,16205,0.5164455414995371
81058,incas,14807,0.5264401972040251
81058,italians,9787,0.4722591192398079
81058,japanese,14417,0.5034334466255116
81058,khmer,15502,0.48296993936266286
81058,koreans,7442,0.4516259070142435
81058,lithuanians,22516,0.5067951678806182
81058,magyars,21475,0.5050523864959255
81058,malay,12483,0.5029239766081871
81058,malians,19353,0.5328372862088565
81058,mayans,16236,0.48817442719881743
81058,mongols,31036,0.5167547364351076
81058,persians,10345,0.46863218946350893
81058,poles,11583,0.49693516360183027
81058,portuguese,15611,0.49964768432515533
81058,saracens,8998,0.4686597021560347
81058,sicilians,12081,0.49424716496978727
81058,slavs,11523,0.5033411437993578
81058,spanish,23031,0.5060136337979245
81058,tatars,8839,0.46984953048987443
81058,teutons,17582,0.49971561824593336
81058,turks,18984,0.5244943109987358
81058,vietnamese,8691,0.4413761362328846
81058,vikings,18959,0.5217047312621974
82587,aztecs,17136,0.47840802987861814
82587,bengalis,4546,0.4846018477782666
82587,berbers,13720,0.5185131195335277
82587,bohemians,8329,0.49921959418897827
82587,britons,28528,0.46694475602916435
82587,bulgarians,15994,0.5081280480180067
82587,burgundians,12254,0.4777215603068386
82587,burmese,7692,0.4791991679667187
82587,byzantines,20148,0.4868969624776653
82587,celts,15326,0.5120709904737049
82587,chinese,13625,0.4548256880733945
82587,cumans,16836,0.5041577571869803
82587,dravidians,6288,0.5025445292620865
82587,ethiopians,26764,0.5020549992527276
82587,franks,51417,0.5235622459497832
82587,goths,21838,0.5074182617455811
82587,gurjaras,8758,0.5046814341173784
82587,hindustanis,12953,0.4830541187369721
82587,huns,19120,0.5117677824267782
82587,incas,18216,0.5154259991216513
82587,italians,11207,0.4787186579816186
82587,japanese,15160,0.49195250659630607
82587,khmer,20037,0.4894445276238958
82587,koreans,9089,0.45560567719221035
82587,lithuanians,24866,0.5099734577334513
82587,magyars,25162,0.5062793100707416
82587,malay,13109,0.5048440003051339
82587,malians,25922,0.5240722166499499
82587,mayans,20001,0.4770261486925654
82587,mongols,38897,0.5189346222073682
82587,persians,12330,0.4832116788321168
82587,poles,14145,0.49218805231530577
82587,portuguese,19602,0.5042342618100194
82587,saracens,11777,0.4708329795363845
82587,sicilians,12920,0.4996904024767802
82587,slavs,10782,0.49434242255611205
82587,spanish,24677,0.5077602625926977
82587,tatars,10295,0.4699368625546382
82587,teutons,21433,0.5149535762609061
82587,turks,22323,0.5164180441696905
82587,vietnamese,10971,0.4495488105004102
82587,vikings,20107,0.5260357089570796
83607,aztecs,35714,0.4832838662709302
83607,bengalis,9174,0.473948114235884
83607,berbers,28594,0.5145135343078968
83607,bohemians,16520,0.4963680387409201
83607,britons,65236,0.4697866208841744
83607,bulgarians,32195,0.5129678521509551
83607,burgundians,24672,0.4802610246433204
83607,burmese,16104,0.47578241430700446
83607,byzantines,44081,0.485969011592296
83607,celts,28687,0.5109980130372642
83607,chinese,30828,0.4608472816919683
83607,cumans,35510,0.4998873556744579
83607,dravidians,12480,0.4979166666666667
83607,ethiopians,59699,0.4984170589122096
83607,franks,110662,0.5253113083081816
83607,goths,41869,0.5102820702667845
83607,gurjaras,18500,0.5107567567567568
83607,hindustanis,23543,0.4792507327018647
83607,huns,41068,0.5130515243011591
83607,incas,37958,0.5165709468359766
83607,italians,25051,0.4746317512274959
83607,japanese,33307,0.49536133545500943
83607,khmer,52781,0.48513669691745137
83607,koreans,19525,0.4574647887323944
83607,lithuanians,59975,0.5093288870362651
83607,magyars,54070,0.506676530423525
83607,malay,25237,0.5040614970083608
83607,malians,51976,0.5289171925504079
83607,mayans,42811,0.4813716101002079
83607,mongols,95562,0.5169209518427827
83607,persians,27958,0.48715931039416266
83607,poles,28470,0.49350193185809627
83607,portuguese,41703,0.5098913747212431
83607,saracens,25286,0.4708138891085976
83607,sicilians,19923,0.49249611002359084
83607,slavs,20967,0.4891496160633376
83607,spanish,52565,0.509863977932084
83607,tatars,23089,0.469790809476374
83607,teutons,44940,0.5126168224299066
83607,turks,45689,0.5239116636389503
83607,vietnamese,26958,0.4524074486237851
83607,vikings,33025,0.5164875094625284
87863,aztecs,46644,0.4781107966726696
87863,bengalis,12928,0.468595297029703
87863,berbers,37764,0.5122073932846097
87863,bohemians,24193,0.5029554003224073
87863,britons,88335,0.4768664742174676
87863,bulgarians,43219,0.5088965501284157
87863,burgundians,35548,0.4929391245639698
87863,burmese,21441,0.4802481227554685
87863,byzantines,52451,0.48334636136584624
87863,celts,38196,0.503089328725521
87863,chinese,31597,0.4376681330506061
87863,cumans,51179,0.5021786279528713
87863,dravidians,14913,0.4873600214577885
87863,ethiopians,74458,0.504646915039351
87863,franks,152143,0.5212004495770427
87863,goths,55226,0.5053416868866114
87863,gurjaras,21826,0.49995418308439477
87863,hindustanis,31912,0.48849962396590624
87863,huns,54643,0.5096169683216515
87863,incas,45557,0.5197444959062274
87863,italians,32202,0.4830755853673685
87863,japanese,37604,0.48409743644293163
87863,khmer,61199,0.4857105508259939
87863,koreans,31122,0.47972495340916393
87863,lithuanians,69962,0.5065035304879791
87863,magyars,72516,0.502289149980694
87863,malay,30944,0.5107936918304034
87863,malians,48660,0.5159679408138101
87863,mayans,52417,0.4880477707613942
87863,mongols,133660,0.5173275475086039
87863,persians,34223,0.47205095988078194
87863,poles,38524,0.49125220641677914
87863,portuguese,55080,0.5073166303558461
87863,romans,51331,0.5321930217607294
87863,saracens,32038,0.46775703851676137
87863,sicilians,27375,0.498703196347032
87863,slavs,28794,0.49822879766618045
87863,spanish,68803,0.509890557097801
87863,tatars,30674,0.470919997391928
87863,teutons,59694,0.5156967199383523
87863,turks,60068,0.5134014783245655
87863,vietnamese,45858,0.4678354921714859
87863,vikings,38045,0.5167039032724405
93001,armenians,1293,0.44160866202629545
93001,aztecs,46671,0.4797197403098284
93001,bengalis,12512,0.4679507672634271
93001,berbers,34039,0.5029524956667352
93001,bohemians,31581,0.5441246318989266
93001,britons,77292,0.47298556124825336
93001,bulgarians,41128,0.5059813265901576
93001,burgundians,30264,0.48486650806238435
93001,burmese,20700,0.4786473429951691
93001,byzantines,48958,0.48888843498508927
93001,celts,35880,0.5081103678929766
93001,chinese,29831,0.43944219100935267
93001,cumans,48629,0.49996915420839416
93001,dravidians,15979,0.4937104950247199
93001,ethiopians,65680,0.5031973203410475
93001,franks,131111,0.51737840455797
93001,georgians,934,0.4411134903640257
93001,goths,51443,0.5078825107400424
93001,gurjaras,19748,0.498278306663966
93001,hindustanis,28851,0.4906589026376902
93001,huns,48531,0.5095918072984278
93001,incas,43346,0.5236700041526323
93001,italians,31588,0.481195390654679
93001,japanese,38847,0.4888923211573609
93001,khmer,56045,0.48428941029529843
93001,koreans,28168,0.4729835274069866
93001,lithuanians,65771,0.506074105608855
93001,magyars,70244,0.5005694436535505
93001,malay,31157,0.513464069069551
93001,malians,41152,0.5163540046656299
93001,mayans,50168,0.4877212565778983
93001,mongols,127638,0.5137576583775991
93001,persians,35847,0.4831645604932072
93001,poles,33398,0.47990897658542425
93001,portuguese,56268,0.5070732921020829
93001,romans,32735,0.5241179166030243
93001,saracens,28903,0.4664567691935093
93001,sicilians,41074,0.5332083556507766
93001,slavs,26830,0.488557584793142
93001,spanish,66428,0.507933401577648
93001,tatars,29792,0.4731471535982814
93001,teutons,57578,0.5106637951995554
93001,turks,52900,0.5222495274102079
93001,vietnamese,39895,0.4660233111918787
93001,vikings,36281,0.5175711805077038
95810,armenians,33914,0.45969216252874917
95810,aztecs,27702,0.4789545881163815
95810,bengalis,8717,0.47481931857290355
95810,berbers,23669,0.5071612657906966
95810,bohemians,34090,0.5547961278967439
95810,britons,58573,0.4708312703805508
95810,bulgarians,31363,0.5058508433504448
95810,burgundians,24305,0.48060069944455874
95810,burmese,15321,0.46759349911885645
95810,byzantines,38553,0.482452727414209
95810,celts,26515,0.5050726004148595
95810,chinese,22132,0.44062895355141873
95810,cumans,35765,0.49718999021389626
95810,dravidians,9969,0.48570568763165817
95810,ethiopians,46610,0.500236000858185
95810,franks,91535,0.512481564428907
95810,georgians,30056,0.4607399520894331
95810,goths,39089,0.5069968533346978
95810,gurjaras,13867,0.49664671522319176
95810,hindustanis,20814,0.4933698472182185
95810,huns,38622,0.5031070374398011
95810,incas,34134,0.5251362278080506
95810,italians,20361,0.47807082166887677
95810,japanese,31039,0.4909307645220529
95810,khmer,39845,0.48733843644120967
95810,koreans,22416,0.48331548893647397
95810,lithuanians,46861,0.5081410981413116
95810,magyars,51659,0.5019067345477071
95810,malay,21659,0.5081028671683827
95810,malians,27304,0.508753296220334
95810,mayans,37439,0.49055797430486925
95810,mongols,94962,0.5145637202249321
95810,persians,76641,0.5282029201080362
95810,poles,23146,0.4812062559405513
95810,portuguese,39347,0.5028845909472133
95810,romans,20266,0.5297542682325076
95810,saracens,24611,0.4816951769533948
95810,sicilians,24574,0.5237649548303085
95810,slavs,29408,0.5129216539717084
95810,spanish,53582,0.5123548953006607
95810,tatars,20383,0.46911642054653385
95810,teutons,44772,0.5046904315196998
95810,turks,41497,0.5151697713087693
95810,vietnamese,28914,0.4691844781074912
95810,vikings,23087,0.5185602287001343
99311,armenians,38318,0.49076152200010437
99311,aztecs,52043,0.47818150375650903
99311,bengalis,17483,0.47062861065034606
99311,berbers,46416,0.5085530851430541
99311,bohemians,50656,0.5243603916614024
99311,britons,97966,0.4668252250780883
99311,bulgarians,55951,0.5022072885203124
99311,burgundians,46729,0.4844529093282544
99311,burmese,29000,0.47779310344827586
99311,byzantines,79462,0.49098940374015254
99311,celts,49454,0.5081085453148381
99311,chinese,46038,0.4693296841739433
99311,cumans,68124,0.5043303387939639
99311,dravidians,19426,0.4806444970657881
99311,ethiopians,85535,0.498719822294967
99311,franks,168364,0.511754294267183
99311,georgians,24300,0.4567489711934156
99311,goths,66962,0.5063020817777247
99311,gurjaras,25791,0.4961808382769183
